Chemical Name	Chemical ID	CAS RN	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
Pam(3)CSK(4) peptide	C508075		COVID-19	MESH:D000086382		CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	40,38	5
7-Ala-angiotensin (1-7)	C092006		COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CXCL8|IL10|IL1B|IL6|TNF	38,76	21
7-ketocholesterol	C003001	566-28-9	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	38,03	5
7-bromoindirubin-3'-oxime	C514974		COVID-19	MESH:D000086382		CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|TNF	37,80	5
Indirubin E804	C509867		COVID-19	MESH:D000086382		CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	37,76	5
Latex	D007840		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF	36,83	5
Dust	D004391		COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF	36,66	6
6,2',4'-trimethoxyflavone	C546607		COVID-19	MESH:D000086382		CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|TNF	36,18	5
2'-hydroxyflavanone	C520534		COVID-19	MESH:D000086382		CCL2|CSF3|IL10|IL1B|IL2|IL6|TNF	35,62	5
Perfume	D010476		COVID-19	MESH:D000086382		CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF	35,22	5
Ethionamide	D005000	536-33-4	COVID-19	MESH:D000086382		ACE2|CCL2|CXCL10|IL10|IL1B|IL6|TNF	34,72	20
tin protoporphyrin IX	C032628		COVID-19	MESH:D000086382		AGT|CCL2|CRP|CXCL8|IL10|IL1B|IL6|TNF	34,53	6
FSL-1 lipoprotein, synthetic	C460864		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	34,45	5
diminazene aceturate	C003915	908-54-3	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CXCL8|IL1B|IL6|TNF	33,68	21
Vaccines, Virus-Like Particle	D058425		COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL2|IL6|TNF	33,66	5
lipopolysaccharide, E. coli O26-B6	C433788		COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	33,64	6
3,4-dihydroxybenzohydroxamic acid	C035419	69839-83-4	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|IL10|IL6|TNF	33,22	5
Dermatophagoides pteronyssinus antigen p 1	C451162		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL2|IL6|TNF	33,15	5
Antigens, Dermatophagoides	D039741		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF	32,86	5
Agglutinins	D000373		COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	32,78	5
4'-hydroxydiclofenac	C108036		COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL2|IL6|TNF	32,68	5
Polymyxin B	D011112	1404-26-8	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL8|IL10|IL1B|IL6|TNF	32,56	5
Adjuvants, Immunologic	D000276		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL1B|IL6|TNF	32,37	5
Fungal Polysaccharides	D062610		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|IL7|TNF	32,26	5
Eicosapentaenoic Acid	D015118	1553-41-9	COVID-19	MESH:D000086382		AGT|CCL2|CRP|IL10|IL1B|IL2|IL2RA|IL6|TNF	31,91	6
2-chloro-5-nitrobenzanilide	C457499		COVID-19	MESH:D000086382		AGT|BSG|CCL2|CRP|CXCL8|IL10|IL1B|IL6|TNF	31,84	7
Aluminum Hydroxide	D000536	21645-51-2	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL1B|IL2|IL6	31,79	5
Trichloroacetic Acid	D014238	76-03-9	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF	31,79	5
Toluene 2,4-Diisocyanate	D014051	584-84-9	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF	31,74	5
cobaltiprotoporphyrin	C007095	14325-03-2	COVID-19	MESH:D000086382		AGT|CCL2|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	31,71	6
TMC 120A	C402696		COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL10|IL10|IL1B|IL6|TNF	31,68	5
FK 706	C109799		COVID-19	MESH:D000086382		CCL2|CSF3|CXCL8|IL1B|TNF	31,55	3
Durapatite	D017886	1306-06-5	COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|IL6|TNF	31,54	5
Platelet Activating Factor	D010972		COVID-19	MESH:D000086382		AGT|CCL2|CRP|CXCL8|IL1B|IL6|TNF	31,43	6
Simvastatin	D019821	79902-63-9	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CCL3|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TMPRSS2|TNF	31,20	22
3-acetyldeoxynivalenol	C043247	50722-38-8	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL2|IL6|TNF	31,11	5
Imiquimod	D000077271	99011-02-6	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF	31,00	5
Naproxen	D009288	22204-53-1	COVID-19	MESH:D000086382		ACE2|CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|TMPRSS2|TNF	30,98	21
Dinoprostone	D015232	363-24-6	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF	30,85	6
2-(1-carboxy-2-(3-(3,5-dichlorobenzyl)-3H-imidazol-4-yl)ethylamino)-4-methylpentanoic acid	C486469		COVID-19	MESH:D000086382		ACE2|AGT|IL10|IL1B|IL6|TNF	30,78	21
SB 203580	C093642		COVID-19	MESH:D000086382		ACE2|AGT|BSG|CCL2|CCL3|CRP|CXCL8|IL10|IL1B|IL2|IL6|TNF	30,61	22
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	C093973		COVID-19	MESH:D000086382		ACE2|AGT|BSG|CCL2|CRP|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	30,58	22
Telmisartan	D000077333		COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CRP|CXCL8|IL10|IL1B|IL6|TNF	30,28	21
Perindopril	D020913	82834-16-0	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CCL3|IL10|IL1B|IL6|TNF	30,26	21
GDC-0152	C579046		COVID-19	MESH:D000086382		CCL2|CRP|CXCL10|IL6|IL7|TNF	29,89	5
enterotoxin F, Staphylococcal	C030107		COVID-19	MESH:D000086382		CCL3|IL1B|IL2|IL6|TNF	29,78	5
pyrrolidine dithiocarbamic acid	C020972	25769-03-3	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL8|HCK|IL10|IL1B|IL2|IL6|TNF	29,78	7
4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone	D012368	29925-17-5	COVID-19	MESH:D000086382		CXCL8|IL10|IL1B|IL6|TNF	29,76	5
Croton Oil	D003436	8001-28-3	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL1B|IL2RA|IL6|IL7|TNF	29,76	5
3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol	C054649	83003-12-7	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL1B|IL2|IL6|TNF	29,68	5
Oxazolone	D010081	15646-46-5	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF	29,63	5
2-anisidine	C003898	90-04-0	COVID-19	MESH:D000086382		CCL3|CSF3|CXCL8|IL1B|IL2|IL2RA|IL6|TNF	29,52	5
enterotoxin B, staphylococcal	C031818	39424-53-8	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|IL10|IL1B|IL2|IL6|TNF	29,52	5
4-phenylenediamine	C029728	106-50-3	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	29,36	5
phthalic anhydride	C043103	85-44-9	COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL2|IL6|TNF	29,35	5
tofacitinib	C479163		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	29,29	5
ethyl 6-(N-(2-chloro-4-fluorophenyl)sulfamoyl)cyclohex-1-ene-1-carboxylate	C507035		COVID-19	MESH:D000086382		AGT|CCL2|CXCL10|CXCL8|IL1B|IL6|TNF	29,22	6
rofecoxib	C116926		COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL6|TMPRSS4|TNF	29,21	7
Curcumin	D003474	458-37-7	COVID-19	MESH:D000086382		ACE2|AGT|BSG|CCL2|CCL3|CRP|CXCL8|HCK|IL10|IL1B|IL2|IL2RA|IL6|TMPRSS2|TNF	29,16	24
Oligoribonucleotides	D009843		COVID-19	MESH:D000086382		CXCL10|IL10|IL1B|IL6|TNF	29,09	5
astragalin	C001579	480-10-4	COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|IL6|TNF	29,08	5
manganese ferrite	C551151		COVID-19	MESH:D000086382		CCL3|CXCL8|IL1B|IL6|TNF	29,08	5
neoechinulin A	C490266		COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL10|IL1B|IL6|TNF	28,85	5
curdlan	C038459	54724-00-4	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL10|IL10|IL1B|IL6|TNF	28,84	5
Rolipram	D020889	61413-54-5	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL6|TNF	28,73	5
Mevalonic Acid	D008798	150-97-0	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CRP|CXCL8|IL1B|IL6|TNF	28,49	6
macrophage stimulatory lipopeptide 2	C106335		COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL1B|IL6|TNF	28,40	5
Benzalkonium Compounds	D001548		COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|CXCL8|HCK|IL10|IL1B|IL6|TNF	28,38	6
Dimethoate	D004117	60-51-5	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	28,38	5
Nitrogen Dioxide	D009585	10102-44-0	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CXCL8|IL10|IL1B|IL6|LZTFL1|TNF	28,30	7
candesartan	C081643	139481-59-7	COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CRP|CXCL8|IL1B|IL6|TNF	28,22	21
N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide	C080955	123653-11-2	COVID-19	MESH:D000086382		AGT|CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	28,22	6
nivalenol	C038405	23282-20-4	COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL2|IL6|TNF	28,19	5
2-butenal	C012796	4170-30-3	COVID-19	MESH:D000086382		CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF	28,07	5
eriodictyol	C007619	552-58-9	COVID-19	MESH:D000086382		CCL2|CXCL10|CXCL8|IL1B|IL6|TNF	27,98	5
Hydrocortisone	D006854	50-23-7	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF	27,82	6
naringin	C005274	10236-47-2	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF	27,81	6
N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine	C044387	16858-02-9	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF|UGCG	27,76	7
Carrageenan	D002351	9000-07-1	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL10|IL1B|IL6|TNF	27,74	5
Mycotoxins	D009183		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL6|TNF	27,54	5
Famotidine	D015738	76824-35-6	COVID-19	MESH:D000086382		AGT|CXCL8|IL10|IL1B|IL2|IL6|TMPRSS2|TNF	27,52	9
Taurocholic Acid	D013656	81-24-3	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|IL10|IL1B|IL6|TNF	27,52	5
Benzethonium	D001558	121-54-0	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL1B|IL2	27,49	3
4-methylesculetin	C570020		COVID-19	MESH:D000086382		CXCL8|IL1B|IL2|IL6|TNF	27,47	5
caffeic acid	C040048	331-39-5	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF	27,40	5
Chromium Alloys	D002858		COVID-19	MESH:D000086382		CCL2|CXCL8|IL1B|IL2|IL6|TNF	27,40	5
chromium nicotinic acid complex	C102874		COVID-19	MESH:D000086382		CCL2|CXCL8|IL6|TNF	27,39	5
Atorvastatin	D000069059		COVID-19	MESH:D000086382		ACE2|AGT|CCL2|CRP|CXCL10|CXCL8|IL1B|IL2RA|IL6|TNF	27,28	21
Gemfibrozil	D015248	25812-30-0	COVID-19	MESH:D000086382		ACE2|CCL2|CXCL10|IL10|IL1B|IL6|TMPRSS2|TNF	27,10	21
Glucosamine	D005944	3416-24-8	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CSF3|CXCL10|CXCL8|IL1B|IL2|IL6|TNF	26,95	6
SR 144528	C110630		COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL1B|IL2|TNF	26,88	3
deoxynivalenol	C007262	51481-10-8	COVID-19	MESH:D000086382		CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|HCK|IL10|IL1B|IL2|IL6|IL7|TNF	26,80	6
chromic oxide	C023600	1308-38-9	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|HCK|IL1B|IL6|TNF	26,71	6
didecyldimethylammonium	C027118	20256-56-8	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL10|IL1B|IL2RA|IL6|TNF	26,66	5
K-12 lipopolysaccharide	C114999		COVID-19	MESH:D000086382		CXCL10|IL10|IL1B|IL6|TNF	26,64	5
5S,12R,18R-trihydroxy-6Z,8E,10E,14Z,16E-eicosapentaenoic acid	C499823		COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|IL6|TNF	26,63	5
polydatin	C058229	65914-17-2	COVID-19	MESH:D000086382		AGT|CCL2|CXCL10|CXCL8|IL1B|IL6|TNF	26,62	6
Antigens, Bacterial	D000942		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2RA|IL6|IL7|TNF	26,56	5
Poly I-C	D011070		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TMPRSS2|TNF	26,56	8
lipopolysaccharide, Escherichia coli O111 B4	C440499		COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	26,50	5
Sumatriptan	D018170	103628-46-2	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|TNF	26,44	5
Theophylline	D013806	58-55-9	COVID-19	MESH:D000086382		ACE2|CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TMEM106B|TMPRSS2|TNF	26,37	22
Thioctic Acid	D008063	62-46-4	COVID-19	MESH:D000086382		AGT|CCL2|CRP|CXCL8|IL10|IL1B|IL2|IL6|TNF	26,20	6
3-(4-methylphenylsulfonyl)-2-propenenitrile	C434003		COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL8|IL10|IL1B|IL6|TNF	26,18	6
Asbestos, Amphibole	D017636		COVID-19	MESH:D000086382		CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	26,18	5
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole	C090942		COVID-19	MESH:D000086382		AGT|CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	26,13	6
Dinitrofluorobenzene	D004139	70-34-8	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL2|TNF	26,04	2
Bleomycin	D001761	11056-06-7	COVID-19	MESH:D000086382		ACE2|CCL2|CCL3|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF|UGCG	26,02	21
Sulfasalazine	D012460	599-79-1	COVID-19	MESH:D000086382		ACE2|CCL2|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TMPRSS2|TNF	25,97	21
lipoxin A4	C040527		COVID-19	MESH:D000086382		AGT|CXCL8|IL10|IL1B|IL6|TNF	25,95	6
naphthenic acid	C046170	1338-24-5	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL1B|IL6|TNF	25,95	5
luteolin-7-O-glucuronide	C456096		COVID-19	MESH:D000086382		CCL2|CCL3|IL1B|IL6|TNF	25,92	5
roflumilast N-oxide	C517734		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|TNF	25,88	1
acetic anhydride	C031800	108-24-7	COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	25,81	5
ethyl 2-methyl-3-oxobutanoate	C119270	609-14-3	COVID-19	MESH:D000086382		CXCL8|IL1B|IL6|TNF	25,81	5
lipoteichoic acid	C009900	56411-57-5	COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL1B|IL6|TNF	25,80	5
Peptidoglycan	D010457		COVID-19	MESH:D000086382		CCL2|CXCL8|IL10|IL1B|IL6|TNF	25,80	5
4-Nitroquinoline-1-oxide	D015112	56-57-5	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL6|TNF	25,73	5
Pyridostigmine Bromide	D011729	101-26-8	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|IL10|IL1B|IL2|IL6|TNF	25,73	5
Ethambutol	D004977	74-55-5	COVID-19	MESH:D000086382		ACE2|CCL2|CXCL8|IL10|IL1B|IL6|TMPRSS2	25,65	21
AZD8848	C000609563		COVID-19	MESH:D000086382		CCL2|CRP|CXCL10|IL6|TNF	25,61	5
CL097 compound	C547051		COVID-19	MESH:D000086382		CXCL10|IL10|IL1B|IL6|TNF	25,60	5
CpG ODN 2395	C527702		COVID-19	MESH:D000086382		CXCL10|IL10|IL1B|IL6|TNF	25,60	5
Gonadal Steroid Hormones	D012739		COVID-19	MESH:D000086382		IL10|IL1B|IL2|IL6|TNF	25,60	5
Allopurinol	D000493	315-30-0	COVID-19	MESH:D000086382		AGT|CCL2|CXCL10|CXCL8|IL1B|IL6|TMPRSS2|TNF	25,54	9
Olmesartan Medoxomil	D000068557		COVID-19	MESH:D000086382		ACE2|CRP|IL10|IL1B|IL6|TNF	25,28	20
Amitrole	D000640	61-82-5	COVID-19	MESH:D000086382		AGT|CCL2|IL10|IL1B|IL6|TNF	25,27	6
Ovalbumin	D010047	9006-59-1	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|IL7|TNF	25,16	5
15-acetyldeoxynivalenol	C046760	88337-96-6	COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL1B|IL2|IL6|TNF	25,14	5
boric acid	C032688	11113-50-1	COVID-19	MESH:D000086382		AGT|CSF3|IL10|IL1B|IL2|IL6|TNF	25,08	6
lactacystin	C067713	133343-34-7	COVID-19	MESH:D000086382		AGT|CXCL8|IL1B|IL2|IL2RA|IL6|TNF	25,08	6
2,2-bis(4-glycidyloxyphenyl)propane	C019273	1675-54-3	COVID-19	MESH:D000086382		AGT|CCL2|CXCL8|IL10|IL1B|IL6|TNF	25,07	6
terameprocol	C076852	5701-82-6	COVID-19	MESH:D000086382		CCL2|CCL3|CSF3|IL6|TNF	25,03	5
Endotoxins	D004731		COVID-19	MESH:D000086382		CCL2|CCL3|IL10|IL1B|IL6|TNF	25,02	5
