Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
NFKBIA	4792	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|betulinic acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	28,39	21
RELA	5970	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	28,02	23
NFKB1	4790	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	26,58	16
CASP3	836	COVID-19	MESH:D000086382		Acetazolamide|Active Hexose Correlated Compound|betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	25,86	30
CASP8	841	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	25,35	23
ABCB1	5243	COVID-19	MESH:D000086382		cepharanthine|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc	25,13	16
PCNA	5111	COVID-19	MESH:D000086382		betulinic acid|camostat|Dactinomycin|Emodin|Ivermectin|Melatonin|perfluorobutyric acid|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	24,46	17
AKT1	207	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|betulinic acid|Chloroquine|chloroquine diphosphate|Dactinomycin|Emodin|Ivermectin|Melatonin|Nifedipine|plitidepsin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	23,97	24
NOS2	4843	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Nifedipine|perfluorobutyric acid|Sirolimus|Tenofovir|Zinc	23,81	21
BAX	581	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	23,56	25
CDKN1A	1026	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Ivermectin|lopinavir-ritonavir drug combination|Losartan|Melatonin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	22,84	24
ICAM1	3383	COVID-19	MESH:D000086382		Chloroquine|Choline|Emodin|Ivermectin|Lopinavir|Losartan|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	22,05	22
SOD2	6648	COVID-19	MESH:D000086382		chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	21,93	15
BBC3	27113	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Ivermectin|Melatonin|Sirolimus|Zinc|Zinc Sulfate	21,87	13
IL1A	3552	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Toremifene|Zinc|Zinc Sulfate	21,66	19
TGFB1	7040	COVID-19	MESH:D000086382		betulinic acid|camostat|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc	21,64	17
FOS	2353	COVID-19	MESH:D000086382		Azithromycin|camostat|cannabidiolic acid|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Ritonavir|Toremifene|Zinc|Zinc Sulfate	21,58	14
PPARG	5468	COVID-19	MESH:D000086382		cannabidiolic acid|cannabigerolic acid|Choline|Emodin|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Ritonavir|Sirolimus|Tenofovir|Zinc	21,49	13
CCND1	595	COVID-19	MESH:D000086382		betulinic acid|camostat|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	21,46	19
GPT	2875	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate	21,40	17
CYP3A4	1576	COVID-19	MESH:D000086382		acalabrutinib|Azithromycin|Chloroquine|Dactinomycin|Emodin|Ivermectin|Lopinavir|Losartan|Mefloquine|Nifedipine|Ritonavir|Sirolimus	21,31	17
ESR1	2099	COVID-19	MESH:D000086382		Emodin|Ivermectin|Melatonin|Mercaptopurine|Nifedipine|perfluorobutyric acid|Ritonavir|selamectin|Sirolimus|Toremifene|Zinc|Zinc Sulfate	21,27	12
HSPA5	3309	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc	21,23	14
COL1A1	1277	COVID-19	MESH:D000086382		camostat|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Losartan|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate	21,17	13
BECN1	8678	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Melatonin|Sirolimus|Zinc|Zinc Sulfate	20,37	16
STAT3	6774	COVID-19	MESH:D000086382		betulinic acid|camostat|Emodin|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	20,31	13
BCL2	596	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	20,17	20
HMOX1	3162	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Ivermectin|Lopinavir|Losartan|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	20,15	15
CTSL	1514	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Choline|Ivermectin|Teicoplanin|Zinc|Zinc Sulfate	20,12	17
SRC	6714	COVID-19	MESH:D000086382		Choline|Emodin|Ivermectin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	19,89	10
PARP1	142	COVID-19	MESH:D000086382		betulinic acid|cepharanthine|Chloroquine|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	19,79	17
MCL1	4170	COVID-19	MESH:D000086382		cepharanthine|Chloroquine|Dactinomycin|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc	19,76	12
NR1H4	9971	COVID-19	MESH:D000086382		Dactinomycin|Emodin|Ivermectin|Nifedipine|Ritonavir|selamectin|Sirolimus|Zinc Sulfate	19,76	8
MAP1LC3B	81631	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|chloroquine diphosphate|Dactinomycin|Ivermectin|Melatonin|Sirolimus|Zinc	19,71	17
CPT1A	1374	COVID-19	MESH:D000086382		cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|Losartan|perfluorobutyric acid|Zinc|Zinc Sulfate	19,63	9
CDH1	999	COVID-19	MESH:D000086382		Chloroquine|Choline|Emodin|Ivermectin|Losartan|selamectin|Sirolimus|Zinc|Zinc Sulfate	19,60	14
BCL2L1	598	COVID-19	MESH:D000086382		Azithromycin|Chloroquine|Choline|Dactinomycin|Melatonin|Mercaptopurine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	19,55	14
VEGFA	7422	COVID-19	MESH:D000086382		betulinic acid|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Nifedipine|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	19,46	15
MYC	4609	COVID-19	MESH:D000086382		betulinic acid|Choline|Dactinomycin|Emodin|Losartan|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Zinc	19,33	14
SQSTM1	8878	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Dactinomycin|Hydroxychloroquine|Ivermectin|Melatonin|Sirolimus|Zinc|Zinc Sulfate	19,18	21
STAT1	6772	COVID-19	MESH:D000086382		baricitinib|Choline|Dactinomycin|Interferon-alpha|Ivermectin|Melatonin|Zinc|Zinc Sulfate	19,17	12
GLB1	2720	COVID-19	MESH:D000086382		Chloroquine|Choline|Ivermectin|lopinavir-ritonavir drug combination|Ritonavir|Sirolimus	19,06	17
IFNG	3458	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	18,94	20
NOS3	4846	COVID-19	MESH:D000086382		camostat|Choline|Losartan|Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc	18,82	12
SERPINE1	5054	COVID-19	MESH:D000086382		camostat|Chloroquine|Choline|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Sirolimus|Zinc	18,66	18
HIF1A	3091	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc	18,55	13
CS	1431	COVID-19	MESH:D000086382		Chloroquine|Dactinomycin|Ivermectin|Sirolimus|Zinc|Zinc Sulfate	18,31	11
ALB	213	COVID-19	MESH:D000086382		chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Ritonavir|Toremifene|Zinc|Zinc Sulfate	18,23	15
RUNX2	860	COVID-19	MESH:D000086382		Chloroquine|Choline|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate	17,71	12
MAP2K1	5604	COVID-19	MESH:D000086382		Choline|Emodin|Ivermectin|Melatonin|Mercaptopurine|Sirolimus|Zinc Sulfate	17,69	6
PPARA	5465	COVID-19	MESH:D000086382		cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|Losartan|perfluorobutyric acid|Sirolimus|Zinc|Zinc Sulfate	17,64	10
MT2A	4502	COVID-19	MESH:D000086382		Dactinomycin|Ivermectin|Mefloquine|Melatonin|Mercaptopurine|Zinc|Zinc Sulfate	17,58	8
MMP9	4318	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	17,56	14
TLR4	7099	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|betulinic acid|Chloroquine|Choline|Ivermectin|Losartan|Melatonin|Zinc	17,54	15
LEP	3952	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Lopinavir|Melatonin|Ritonavir|Zinc|Zinc Sulfate	17,51	15
CTSK	1513	COVID-19	MESH:D000086382		betulinic acid|Choline|Mercaptopurine|Sirolimus|Zinc|Zinc Sulfate	17,49	6
RB1	5925	COVID-19	MESH:D000086382		betulinic acid|Emodin|Ivermectin|Lopinavir|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	17,30	10
CYP27A1	1593	COVID-19	MESH:D000086382		Choline|Emodin|Ivermectin|Melatonin|Sirolimus|Zinc	17,15	7
MYH7	4625	COVID-19	MESH:D000086382		Ivermectin|Losartan|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	17,13	8
CREB1	1385	COVID-19	MESH:D000086382		Choline|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	17,10	10
MAPK8	5599	COVID-19	MESH:D000086382		Chloroquine|Choline|Ivermectin|Melatonin|plitidepsin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	17,09	15
CASP7	840	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Ivermectin|Ribavirin|Sirolimus|Zinc	16,95	18
PTGS2	5743	COVID-19	MESH:D000086382		cannabidiolic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Tenofovir|Zinc	16,94	21
CASP9	842	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate	16,93	18
MAP2	4133	COVID-19	MESH:D000086382		Chloroquine|Choline|Ivermectin|Melatonin|Sirolimus|Zinc	16,88	12
INS1	16333	COVID-19	MESH:D000086382		Choline|Dactinomycin|Ivermectin|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc	16,66	10
EDN1	1906	COVID-19	MESH:D000086382		Choline|Dactinomycin|Ivermectin|Losartan|Nifedipine|Sirolimus|Tenofovir|Zinc	16,64	9
ABCC2	1244	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Lopinavir|Nifedipine|Sirolimus	16,35	14
DDIT3	1649	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Emodin|Ivermectin|Melatonin|Nifedipine|Sirolimus|Zinc	16,33	14
APP	351	COVID-19	MESH:D000086382		Chloroquine|chloroquine diphosphate|Choline|Heparin, Low-Molecular-Weight|Ivermectin|Melatonin|Sirolimus|Zinc	16,19	18
CTNNB1	1499	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate	16,17	14
ACTA2	59	COVID-19	MESH:D000086382		betulinic acid|Choline|Emodin|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc	16,11	9
CD36	948	COVID-19	MESH:D000086382		Choline|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc|Zinc Sulfate	15,91	9
CASP12	100506742	COVID-19	MESH:D000086382		Chloroquine|Choline|Emodin|Melatonin|Sirolimus|Zinc	15,80	10
CYP2D6	1565	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Chloroquine|Hydroxychloroquine|Ivermectin|Nifedipine|Ritonavir|Zinc	15,78	17
FAS	355	COVID-19	MESH:D000086382		Choline|Emodin|Hydroxychloroquine|Ivermectin|Melatonin|Ribavirin|Sirolimus|Zinc	15,76	18
ABCB11	8647	COVID-19	MESH:D000086382		Choline|Emodin|Lopinavir|Losartan|Nifedipine|Ritonavir|Zinc Sulfate	15,70	9
NFE2L2	4780	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Losartan|Melatonin|Nifedipine|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	15,60	10
MAPK3	5595	COVID-19	MESH:D000086382		betulinic acid|camostat|Chloroquine|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	15,43	17
MKI67	4288	COVID-19	MESH:D000086382		camostat|Chloroquine|Choline|Ivermectin|Melatonin|Sirolimus|Zinc	15,43	14
CCNA2	890	COVID-19	MESH:D000086382		Choline|Dactinomycin|Ivermectin|Ribavirin|Ritonavir|Sirolimus|Zinc	15,41	13
MAPK1	5594	COVID-19	MESH:D000086382		betulinic acid|camostat|Chloroquine|Dactinomycin|Emodin|Ivermectin|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	15,40	17
CYP2C9	1559	COVID-19	MESH:D000086382		Emodin|Ivermectin|Losartan|Nifedipine|Ritonavir|Sirolimus|Tenofovir	15,32	8
HSF1	3297	COVID-19	MESH:D000086382		Dactinomycin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	15,28	6
IL4	3565	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Chloroquine|Choline|Emodin|Melatonin|Ribavirin|Sirolimus|Zinc	15,27	17
CAT	847	COVID-19	MESH:D000086382		Chloroquine|Choline|Emodin|Ivermectin|Lopinavir|Losartan|Melatonin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	15,11	19
CYP3A23-3A1	25642	COVID-19	MESH:D000086382		Choline|Dactinomycin|Nifedipine|perfluorobutyric acid|Ritonavir|Toremifene	15,10	6
ABCB1A	18671	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|selamectin	15,07	10
JUN	3725	COVID-19	MESH:D000086382		camostat|Choline|Dactinomycin|Hydroxychloroquine|Melatonin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	14,98	15
RAF1	5894	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Melatonin|Sirolimus|Zinc	14,95	5
TIMP2	7077	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Losartan|Melatonin|Zinc	14,89	12
BAK1	578	COVID-19	MESH:D000086382		betulinic acid|Dactinomycin|Ivermectin|Losartan|Melatonin|Ritonavir	14,88	8
EGFR	1956	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Dactinomycin|Ivermectin|Sirolimus|Zinc|Zinc Sulfate	14,87	13
CTSB	1508	COVID-19	MESH:D000086382		Azithromycin|Chloroquine|Choline|Hydroxychloroquine|Ivermectin|Melatonin	14,85	14
CCND2	894	COVID-19	MESH:D000086382		Acetazolamide|Choline|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	14,83	8
NCF2	4688	COVID-19	MESH:D000086382		Choline|Ivermectin|Losartan|Sirolimus|Zinc Sulfate	14,75	6
ACOX1	51	COVID-19	MESH:D000086382		cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|perfluorobutyric acid|Zinc	14,72	7
MTOR	2475	COVID-19	MESH:D000086382		cepharanthine|Chloroquine|Ivermectin|Melatonin|Ribavirin|Sirolimus|Zinc	14,60	18
SPIRE1	56907	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc|Zinc Sulfate	14,56	6
BDNF	627	COVID-19	MESH:D000086382		Choline|Dactinomycin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	14,54	7
CXCL1	2919	COVID-19	MESH:D000086382		Active Hexose Correlated Compound|Choline|Emodin|Hydroxychloroquine|Losartan|Ritonavir|Zinc	14,49	13
MAPT	4137	COVID-19	MESH:D000086382		Chloroquine|Emodin|Ivermectin|Losartan|Melatonin|Zinc	14,47	12
EIF4H	7458	COVID-19	MESH:D000086382		Chloroquine|Choline|Ivermectin|Zinc	14,45	10
RO60	6738	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc|Zinc Sulfate	14,37	6
MMP2	4313	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Losartan|Melatonin|Nifedipine|Sirolimus|Zinc	14,34	13
SCD1	20249	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Mercaptopurine|perfluorobutyric acid|Zinc	14,34	10
COL3A1	1281	COVID-19	MESH:D000086382		camostat|Choline|Emodin|Ivermectin|Losartan|Zinc	14,30	9
CADPS	8618	COVID-19	MESH:D000086382		Choline|Ivermectin|Zinc|Zinc Sulfate	14,25	6
TRIB3	57761	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Choline|Ivermectin|Sirolimus|Zinc	14,22	12
COL1A2	1278	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Ivermectin|Sirolimus|Zinc	14,19	6
EEF1A1	1915	COVID-19	MESH:D000086382		Choline|Ivermectin|plitidepsin|Zinc|Zinc Sulfate	14,18	7
VIM	7431	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Ivermectin|Losartan|Nifedipine|Sirolimus	14,15	6
CEBPA	1050	COVID-19	MESH:D000086382		cannabidiolic acid|Choline|Ivermectin|Ritonavir|Sirolimus|Zinc	14,11	9
CYP1B1	1545	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Ivermectin|Melatonin|Nifedipine|Ritonavir|Sirolimus	14,10	8
MTTP	4547	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Zinc|Zinc Sulfate	14,02	10
NR3C1	2908	COVID-19	MESH:D000086382		Choline|Dactinomycin|Melatonin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	14,02	7
CD74	972	COVID-19	MESH:D000086382		Choline|Hydroxychloroquine|Ivermectin|Losartan|Zinc Sulfate	14,00	10
CYP7A1	1581	COVID-19	MESH:D000086382		Chloroquine|Emodin|Melatonin|perfluorobutyric acid|Ritonavir|Zinc	13,96	12
FASN	2194	COVID-19	MESH:D000086382		Choline|Ivermectin|Losartan|Melatonin|perfluorobutyric acid|Ritonavir|Zinc	13,94	11
CYP1A2	1544	COVID-19	MESH:D000086382		Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|Melatonin|Nifedipine|Ritonavir|Zinc	13,92	15
BIRC5	332	COVID-19	MESH:D000086382		betulinic acid|Chloroquine|Emodin|Melatonin|Ritonavir|Sirolimus|Zinc	13,89	12
CYP2E1	1571	COVID-19	MESH:D000086382		Choline|Ivermectin|Melatonin|Nifedipine|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	13,86	10
FASLG	356	COVID-19	MESH:D000086382		Emodin|Losartan|Melatonin|Ritonavir|Sirolimus|Zinc	13,82	7
PENK	5179	COVID-19	MESH:D000086382		Melatonin|Mercaptopurine|Nifedipine|Zinc|Zinc Sulfate	13,77	6
RCN2	5955	COVID-19	MESH:D000086382		Choline|Emodin|Ivermectin|Zinc	13,73	6
HAVCR1	26762	COVID-19	MESH:D000086382		Losartan|Melatonin|Sirolimus|Tenofovir|Zinc	13,70	6
MT1M	4499	COVID-19	MESH:D000086382		Mefloquine|Sirolimus|Zinc|Zinc Sulfate	13,67	5
IGF1	3479	COVID-19	MESH:D000086382		cannabidiolic acid|Dactinomycin|Melatonin|Nifedipine|Sirolimus|Zinc|Zinc Sulfate	13,59	7
MYLK	4638	COVID-19	MESH:D000086382		Dactinomycin|Emodin|Ivermectin|Losartan|Sirolimus	13,59	4
GJA1	2697	COVID-19	MESH:D000086382		Chloroquine|Choline|Losartan|Melatonin|Zinc|Zinc Sulfate	13,57	12
ATF4	468	COVID-19	MESH:D000086382		Chloroquine|Dactinomycin|Ivermectin|Melatonin|Sirolimus|Zinc	13,55	11
FABP4	2167	COVID-19	MESH:D000086382		cannabidiolic acid|cannabigerolic acid|Choline|Ivermectin|Melatonin|Zinc	13,52	8
GSK3B	2932	COVID-19	MESH:D000086382		betulinic acid|Choline|Ivermectin|Losartan|Melatonin|Sirolimus|Zinc	13,52	9
FABP5	2171	COVID-19	MESH:D000086382		Choline|Emodin|Ivermectin|Zinc|Zinc Sulfate	13,50	7
VDAC1	7416	COVID-19	MESH:D000086382		betulinic acid|Choline|Emodin|Ivermectin|Zinc Sulfate	13,48	6
PRMT5	10419	COVID-19	MESH:D000086382		Choline|Ivermectin|Ribavirin|Sirolimus	13,29	10
MIR379	494328	COVID-19	MESH:D000086382		Choline|Sirolimus|Zinc	13,21	4
ABCB1B	18669	COVID-19	MESH:D000086382		Choline|Dactinomycin|Emodin|Ivermectin|selamectin	13,16	5
CSE1L	1434	COVID-19	MESH:D000086382		Choline|Ivermectin|Nifedipine|Sirolimus	13,10	5
